,url,name,tipo,price,description,ref
0,tienda0es/inicio/75-4211-bermuda-formentera.html#/26-talla-2,Bermuda Formentera ecru,Bermuda corta de verano para niña de algodón orgánico en color ecru.,"60,00 €","Bermuda de verano para niña, confeccionada en algodón orgánico certificado de color natural, con bolsillos delanteros. Lleva goma de ojal ajustable con botones en el interior de la cinturilla. Perfecta para cualquier ocasión. Hecho en España con mucho cariño.",7.013.101
1,tienda0es/nina/202-4113-vestido-velero.html#/26-talla-2,Vestido Velero vichy,"Vestido de tirantes en cuadro vichy azul marino de algodón orgánico,  con lazadas fijas (no se pueden deshacer) y volante en el pecho en color azul marino vichy. Forrado en algodón orgánico.","90,00 €","Delicado vestido de tirantes con lazada fija que no se puede deshacer y volante en el pecho. Confeccionado en cuadro vichy azul marino de algodón orgánico certificado. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Nuestro vestido más fresquito y versátil, ideal tanto para los planes más relajados como para ocasiones más especiales. Hecho en España con cariño.",7.011.002
2,tienda0es/inicio/209-4225-bermuda-formentera.html#/26-talla-2,Bermuda Formentera navy,Bermuda corta de verano para niña de algodón orgánico en color azul marino.,"60,00 €","Bermuda de verano para niña, confeccionada en algodón orgánico certificado de color azul marino, con bolsillos delanteros. Lleva goma de ojal ajustable con botones en el interior de la cinturilla. Perfecta para cualquier ocasión. Hecho en España con mucho cariño.",7.013.102
3,tienda0es/the-blue-summer/194-4009-vestido-perla.html#/26-talla-2,Vestido Perla azul,"Elegante vestido en lino orgánico azul, con fajín desmontable en lino blanco.","132,00 €","Elegante vestido de lino orgánico certificado en color azul, sin tintes. Volantes en las mangas y fajín desmontable con jaretas delanteras, confeccionado en lino orgánico blanco.Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Ideal para bodas de verano, arras u otras ocasiones especiales, pero también es versátil para ocasiones más informales. Hecho en España con mucho cariño.",7.010.101
4,tienda0es/the-blue-summer/36-4025-vestido-perla.html#/26-talla-2,Vestido Perla natural,"Elegante vestido en lino orgánico natural, con fajín desmontable en lino blanco.","132,00 €","Elegante vestido de lino orgánico certificado en color natural, sin tintes. Volantes en las mangas y fajín desmontable con jaretas delanteras, confeccionado en lino orgánico blanco. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Ideal para bodas de verano, arras u otras ocasiones especiales, pero también es versátil para ocasiones más informales. Hecho en España con mucho cariño.",7.010.102
5,tienda0es/the-blue-summer/143-4041-vestido-perla.html#/26-talla-2,Vestido Perla blanco,"Elegante vestido en lino orgánico blanco, con fajín desmontable en lino natural.","132,00 €","Elegante vestido de lino orgánico certificado en color blanco, sin tintes. Volantes en las mangas y fajín desmontable con jaretas delanteras, confeccionado en lino orgánico natural. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Ideal para bodas de verano, arras u otras ocasiones especiales, pero también es versátil para ocasiones más informales. Hecho en España con mucho cariño.",7.010.103
6,tienda0es/inicio/59-4058-vestido-sotogrande.html#/27-talla-3,Vestido Sotogrande azul,"Vestido de lino orgánico para niña en azul. Sin mangas, con entredós de valencienne, jaretas y volante en sisas. Forrado en algodón orgánico blanco.","132,00 €","Vestido de lino orgánico certificado para niña en azul. Sin mangas, con entredós de valencienne, jaretas y volante en sisas. Lleva vivo en contraste en color blanco en sisa y cuello. Con botones de nácar en la espalda. Con botones de nácar en la espalda. Forrado en algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.010.201
7,tienda0es/inicio/198-4070-vestido-sotogrande.html#/26-talla-2,Vestido Sotogrande rosa,"Vestido de lino orgánico para niña en rosa. Sin mangas, con entredós de valencienne, jaretas y volante en sisas. Forrado en algodón orgánico blanco.","132,00 €","Vestido de lino orgánico certificado para niña en rosa. Sin mangas, con entredós de valencienne, jaretas y volante en sisas. Lleva vivo en contraste en color blanco en sisa y cuello. Con botones de nácar en la espalda. Con botones de nácar en la espalda. Forrado en algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.010.204
8,tienda0es/the-blue-summer/126-4087-vestido-velero.html#/26-talla-2,Vestido Peonía,"Vestido de lino orgánico certificado, con volante y encaje valencienne. Forrado en algodón orgánico blanco.","132,00 €","Vestido de lino orgánico certificado, en el color natural del lino, sin tintes. Volante en el cuerpo, encaje valencienne y vivo a contraste en cintura. Lleva botones de nácar en la espalda. Forrado con algodón orgánico y con detalle de puntilla de algodón en el bajo. Hecho en España con mucho cariño. Ideal para arras y otras ocasiones especiales.",7.010.602
9,tienda0es/the-blue-summer/129-4120-vestido-velero.html#/26-talla-2,Vestido Zinnia,"Vestido de estampado floral en voile de algodón orgánico 100% certificado, con manga volante.","99,90 €","Vestido de niña en voile de algodón orgánico certificado, con estampado floral realizado en impresión digital, más sostenible. Manga volante y fruncido en el delantero. Detalle de cinta bordada. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.011.101
10,tienda0es/inicio/65-4136-vestido-capri.html#/26-talla-2,Vestido Capri,Vestido de verano para niña en algodón orgánico y cuadros vichy azul marino. Con detalle de cinta bordada en sisas y en falso bajo. Forrado en algodón orgánico.,"76,00 €",Vestido de niña sin mangas y confeccionado en algodón orgánico certificado. Los cuadros vichy azules marinos y los detalles de cinta bordada hacen de él un vestido chic y versátil. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.,7.011.202
11,tienda0es/the-blue-summer/127-4151-vestido-velero.html#/26-talla-2,Vestido Verbena,"Vestido de tirantes en algodón orgánico 100% certificado, de cuadritos Vichy blancos y rosas. Forrado en algodón orgánico blanco.","90,00 €","Vestido de tirantes en algodón orgánico certificado, de cuadritos Vichy blancos y rosas. Dos bolsillos exteriores. Detalle de cinta bordada de algodón tanto en los tirantes como en los bolsillos. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.011.301
12,tienda0es/the-blue-summer/128-4166-vestido-velero.html#/26-talla-2,Vestido Lila,"Vestido voile de algodón orgánico certificado, con delicado estampado floral. Forrado en algodón orgánico.","81,00 €","Vestido de ligero voile de algodón orgánico certificado con un precioso estampado floral realizado en impresión digital, más sostenible. Detalle de jaretas en el pecho, manga con ligero fruncido y delicado cinturón de algodón orgánico en tono lila. Dos bolsillos exteriores delanteros. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.011.501
13,tienda0es/the-blue-summer/124-4181-vestido-velero.html#/26-talla-2,Blusa Rosal,Delicada blusa para niña confeccionada en ligero voile de algodón orgánico certificado. Manga volante con detalle de puntilla bordada valencienne.,"81,00 €","Maravillosa blusa confeccionada en ligero voile de algodón orgánico certificado con estampado floral realizado en impresión digital, más sostenible. Tiene suave forro interior de algodón orgánico en la zona del pecho. Sofisticadas mangas con volante y detalle de puntilla Valencienne. Hecho en España con mucho cariño.",7.011.701
14,tienda0es/inicio/74-4196-blusa-sicilia.html#/26-talla-2,Blusa Sicilia,"Blusa de niña sin mangas, con detalles bordados en sisas, confeccionada en cuadros vichy azul marino en algodón orgánico.","70,00 €",Delicada blusa para niña de algodón orgánico certificado y cuadros vichy azules marino. Lleva botones de nácar en la espalda. Los detalles bordados de las sisas hacen de esta prenda un básico imprescindible en el armario de tu pequeña esta temporada. Hecho en España con mucho cariño.,7.011.802
15,tienda0es/bermudas/210-4232-mono-estrella.html#/26-talla-2,Mono Estrella,Mono corto para niña en lino color natural con volantes en los tirantes. Forrado en algodón orgánico blanco.,"140,00 €","Mono corto para niña confeccionado en lino orgánico certificado en color natural. Con volantes en los tirantes y detalle de pespunte ""roullete"" en color blanco en terminación de volantes y vivo a contraste blanco en corte de pecho. Lleva botones de nácar en tirantes que se pueden mover para acortar o alargar el tirante. Lleva forro de algodón organico en color blanco.Hecho en España con mucho cariño.",
16,tienda0es/tienda/238-4541-vestido-chic.html#/26-talla-2,Vestido Chic,"Vestido de lino orgánico certificado, con nido de abeja hecho a mano en San Sebastián.","196,00 €","Vestido de manga corta de lino orgánico certificado, con nido de abeja en el delantero, completamente hecho a mano en San Sebastián. Lleva botones de nácar en la espalda. Forrado con algodón orgánico y con detalle de puntilla de algodón en el bajo, este vestido se convierte en una joya. Hecho en España con mucho cariño.",7.010.701
17,tienda0es/tienda/239-4553-vestido-chic.html#/26-talla-2,Vestido Mykonos,Vestido de voile de algodón orgánico certificado en estampado floral. Con manga francesa y volantes en manga y bajo. Forrado en algodón orgánico blanco.,"112,00 €","Vestido de ligero voile de  algodón orgánico certificado en estampado floral realizado en impresión digital, más sostenible. Con manga francesa con volantes y bajo con volantes. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.010.701
18,tienda0es/tienda/222-4346-pantalon-igueldo.html#/26-talla-2,Bermuda Caracola,Bermuda en lino natural certificado y forrada en suave algodón orgánico.,"70,00 €","Bermuda en suave lino orgánico certificado. Forrada en algodón orgánico. 2 bolsillos laterales con vivo y un bolsillo de dos vivos en espalda. Lleva goma de ojal ajustable con botones  en el interior de la cinturilla. Botones reciclados de materiales orgánicos. Fresquita y versátil, cuida la piel de nuestros pequeños. Hecho en España con mucho cariño.",7.020.802
19,tienda0es/the-blue-summer/33-4355-pantalon-igueldo.html#/26-talla-2,Bermuda Niza azul,Bermuda en lino azul certificado y forrada en suave algodón orgánico.,"70,00 €","Bermuda en suave lino orgánico certificado. Forrada en algodón orgánico. 2 bolsillos laterales. Botones reciclados de materiales orgánicos. Lleva goma de ojal ajustable con botones en el interior de la cinturilla. Fresquita y versátil, cuida la piel de nuestros pequeños. Hecho en España con mucho cariño.",7.021.001
20,tienda0es/the-blue-summer/227-4366-pantalon-igueldo.html#/26-talla-2,Bermuda Niza chambray,Bermuda en lino chambray certificado y forrada en suave algodón orgánico.,"70,00 €","Bermuda en suave lino orgánico certificado. Forrada en algodón orgánico. 2 bolsillos laterales. Botones reciclados de materiales orgánicos. Lleva goma de ojal ajustable con botones  en el interior de la cinturilla. Fresquita y versátil, cuida la piel de nuestros pequeños. Hecha en España con mucho cariño.",7.021.004
21,tienda0es/inicio/76-4371-bermuda-larga-cerdena.html#/26-talla-2,Bermuda Cerdeña,Pantalón corto de niño por encima de la rodilla y con canesú trasero. Detalles interiores en cuadros vichy.,"62,00 €",Pantalón corto de verano para niño en 100% algodón orgánico certificado tipo loneta. Con bolsillos delanteros y traseros y goma interior ajustable. Lleva goma de ojal ajustable con botones  en el interior de la cinturilla. Cuenta con detalles interiores en cuadros vichy. Hecho en España con mucho cariño.,7.021.201
22,tienda0es/the-blue-summer/225-4361-pantalon-igueldo.html#/26-talla-2,Bermuda Niza blanco,Bermuda en lino blanco certificado y forrada en suave algodón orgánico.,"70,00 €","Bermuda en suave lino orgánico certificado. Forrada en algodón orgánico. 2 bolsillos laterales. Botones reciclados de materiales orgánicos. Lleva goma de ojal ajustable con botones en el interior de la cinturilla. Fresquita y versátil, cuida la piel de nuestros pequeños. Hecho en España con mucho cariño.",7.021.002
23,tienda0es/the-blue-summer/29-4247-camisa-urgull.html#/27-talla-3,Camisa Urgull azul,Camisa de niño con cuello mao polo confeccionada en lino azul orgánico certificado.,"76,00 €",Camisa de niño con cuello mao polo confeccionada en lino orgánico certificado azul. Bolsillito en el pecho. Una camisa perfecta para un look de arras para niño. Hecho en España con mucho cariño.,7.020.101
24,tienda0es/the-blue-summer/213-4267-camisa-urgull.html#/26-talla-2,Camisa Urgull blanco,Camisa de niño con cuello mao polo confeccionada en lino orgánico certificado.,"76,00 €",Camisa de niño con cuello mao polo confeccionada en lino orgánico certificado blanco. Bolsillito en el pecho. Una camisa perfecta para un look de arras para niño. Hecho en España con mucho cariño.,7.020.102
25,tienda0es/inicio/215-4283-camisa-urgull-rosa.html#/26-talla-2,Camisa Urgull rosa,Camisa de niño con cuello mao polo confeccionada en lino orgánico certificado.,"76,00 €",Camisa de niño con cuello mao polo confeccionada en lino orgánico certificado rosa. Bolsillito en el pecho. Una camisa perfecta para un look de arras para niño. Hecho en España con mucho cariño.,7.020.104
26,tienda0es/inicio/27-4305-avenida.html#/26-talla-2,Camisa Avenida,"Camisa de niño atemporal, confeccionada en lino orgánico, con cuello camisero y manga larga.","84,00 €",La camisa Avenida en lino orgánico certificado blanco es la opción perfecta para cualquier ocasión. Su cuello camisero y manga larga la convierten en un acierto seguro. Crea el conjunto de lino para niño perfecto combinándola con nuestros pantalones cortos Niza de lino orgánico. Hecho en España con mucho cariño.,7.020.202
27,tienda0es/inicio/218-4323-avenida.html#/26-talla-2,Camisa Avenida vichy azul marino,"Camisa de niño atemporal, confeccionada en algodón orgánico, con cuello camisero y manga larga.","67,00 €",La camisa Avenida en algodón orgánico- certificado azul marino vichys es la opción perfecta para cualquier ocasión. Su cuello camisero y manga larga la convierten en un acierto seguro. Crea el conjunto de algodón para niño perfecto combinándola con nuestros pantalones cortos de algodón azul marino. Hecho en España con mucho cariño.,7.020.204
28,tienda0es/inicio/220-4336-avenida.html#/26-talla-2,Camisa Avenida rayas azules,"Camisa de niño atemporal, confeccionada en algodón orgánico, con cuello camisero y manga larga.","67,00 €",La camisa Avenida en algodón orgánico certificado azul cielo con rayas blancas es la opción perfecta para cualquier ocasión. Su cuello camisero y manga larga la convierten en un acierto seguro. Crea el conjunto de algodón para niño perfecto combinándola con nuestros pantalones cortos de algodón azul marino. Hecho en España con mucho cariño.,7.020.205
29,tienda0es/bebe-nina/211-4513-mono-estrella.html#/26-talla-2,Mono Estrella bebé,Mono corto para bebé niña en lino color natural con volantes en los tirantes. Forrado en algodón orgánico blanco.,"140,00 €","Mono corto para bebé niña confeccionado en lino orgánico certificado en color natural. Con volantes en los tirantes y detalle de pespunte ""roullete"" en color blanco en terminación de volantes y vivo a contraste blanco en corte de pecho. Lleva botones de nácar en tirantes que se pueden mover para acortar o alargar el tirante. Lleva forro de algodón organico en color blanco.Hecho en España con mucho cariño.",
30,tienda0es/tienda/195-4486-vestido-perla.html#/25-talla-1,Vestido Perla azul bebé,"Elegante vestido en lino orgánico azul, con fajín desmontable en lino blanco.","132,00 €","Elegante vestido de lino orgánico certificado en color azul, sin tintes. Volantes en las mangas y fajín desmontable con jaretas delanteras, confeccionado en lino orgánico blanco.Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Ideal para bodas de verano, arras u otras ocasiones especiales, pero también es versátil para ocasiones más informales. Hecho en España con mucho cariño.",7.010.101
31,tienda0es/tienda/196-4489-vestido-perla.html#/25-talla-1,Vestido Perla natural bebé,"Elegante vestido en lino orgánico natural, con fajín desmontable en lino blanco.","132,00 €","Elegante vestido de lino orgánico certificado en color natural, sin tintes. Volantes en las mangas y fajín desmontable con jaretas delanteras, confeccionado en lino orgánico blanco. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Ideal para bodas de verano, arras u otras ocasiones especiales, pero también es versátil para ocasiones más informales. Hecho en España con mucho cariño.",7.010.102
32,tienda0es/tienda/197-4492-vestido-perla.html#/25-talla-1,Vestido Perla blanco bebé,"Elegante vestido en lino orgánico blanco, con fajín desmontable en lino natural.","132,00 €","Elegante vestido de lino orgánico certificado en color blanco, sin tintes. Volantes en las mangas y fajín desmontable con jaretas delanteras, confeccionado en lino orgánico natural. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Ideal para bodas de verano, arras u otras ocasiones especiales, pero también es versátil para ocasiones más informales. Hecho en España con mucho cariño.",7.010.103
33,tienda0es/inicio/199-4495-vestido-sotogrande.html#/26-talla-2,Vestido Sotogrande azul bebé,"Vestido de lino orgánico para bebé niña en azul. Sin mangas, con entredós de valencienne, jaretas y volante en sisas. Forrado en algodón orgánico blanco.","132,00 €","Vestido de lino orgánico certificado para bebé niña en azul. Sin mangas, con entredós de valencienne, jaretas y volante en sisas. Lleva vivo en contraste en color blanco en sisa y cuello. Con botones de nácar en la espalda. Con botones de nácar en la espalda. Forrado en algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.010.201
34,tienda0es/inicio/200-4497-vestido-sotogrande.html#/26-talla-2,Vestido Sotogrande rosa bebé,"Vestido de lino orgánico para bebé niña en rosa. Sin mangas, con entredós de valencienne, jaretas y volante en sisas. Forrado en algodón orgánico blanco.","132,00 €","Vestido de lino orgánico certificado para bebé niña en rosa. Sin mangas, con entredós de valencienne, jaretas y volante en sisas. Lleva vivo en contraste en color blanco en sisa y cuello. Con botones de nácar en la espalda. Con botones de nácar en la espalda. Forrado en algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.010.204
35,tienda0es/the-blue-summer/201-4499-vestido-velero.html#/26-talla-2,Vestido Peonía bebé,"Vestido de lino orgánico certificado, con volante y encaje valencienne. Forrado en algodón orgánico blanco.","132,00 €","Vestido de lino orgánico certificado, en el color natural del lino, sin tintes. Volante en el cuerpo, encaje valencienne y vivo a contraste en cintura. Lleva botones de nácar en la espalda. Forrado con algodón orgánico y con detalle de puntilla de algodón en el bajo. Hecho en España con mucho cariño. Ideal para arras y otras ocasiones especiales.",7.010.602
