,url,base,price,value,description
0,tienda3catalog/product/view/id/26421/s/diadema-estampada-acss36-292/category/374/,DIADEMA ESTAMPADA,"24,90 €",8434135277600,Diadema de tela con estampado para niña.
1,tienda3catalog/product/view/id/26420/s/diadema-amarilla-acss36-291/category/374/,DIADEMA AMARILLA,"24,90 €",8434135277587,Diadema amarilla de tela lisa para niña.
2,tienda3catalog/product/view/id/26419/s/diadema-nina-adelfas-acss36-290/category/374/,DIADEMA VERDE ADELFAS,"24,90 €",8434135277570,Diadema de tela con estampado adelfas para niña.
3,tienda3catalog/product/view/id/26418/s/nina-coletero-elastico-acss36-289/category/374/,COLETERO ELÁSTICO NIÑA,"8,90 €",8434135277563,Coletero elástico con estampado.
4,tienda3catalog/product/view/id/24009/s/pelele-pajaro-rosl14-80/category/189/,PELELE PÁJARO,,8434135256728,Pelele de punto azul grisáceo. Detalle intarsia con pájaro. Apertura con botonadura trasera y en la parte inferior.
5,tienda3recien-nacido/pijama-velvet-acsl15-74.html,PIJAMA VELVET,"17,96 €",8434135252201,Pijama entero velvet. Cuello redondo y manga larga con elástico. Cierres traseros con automáticos.
6,tienda3recien-nacido/pack-recien-nacido-acsl15-70.html,PACK RECIÉN NACIDO,"35,96 €",8434135252041,Pack para recién nacido con letras bordadas. El pack de primera puesta se compone por 5 prendas confeccionadas 100% en algodón. Gorro
7,tienda3catalog/product/view/id/24307/s/badana-burdeos/category/189/,BADANA BURDEOS,,8434135116336,Badana burdeos 100% piel ovino. Cierre mediante cordón ajustable en terciopelo. Plantilla 100% piel.
8,tienda3catalog/product/view/id/24455/s/marron-blucher/category/189/,BLUCHER MARRÓN,"23,96 €",8434135215282,Zapato estilo blucher en color marrón con cierre de cordón.
9,tienda3catalog/product/view/id/23697/s/capota-relieves-con-pompones/category/193/,CAPOTA RELIEVES CON POMPONES,,8434135255905,Capota de punto con detalle pompones en relieve. Cierre con lazo.
10,tienda3catalog/product/view/id/23698/s/patucos-boton/category/193/,PATUCOS BOTÓN,"13,16 €",8434135255967,Patucos de punto y cierre con botón para recién nacido.
11,tienda3catalog/product/view/id/23699/s/capota-de-punto/category/193/,CAPOTA DE PUNTO,,8434135256018,Capota de punto de arroz. Cierre con lazo.
12,tienda3catalog/product/view/id/23701/s/manta-recien-nacido/category/193/,MANTA RECIÉN NACIDO,"31,96 €",8434135256100,Manta de punto para recién nacido con acabado en rib.
13,tienda3catalog/product/view/id/24062/s/san-francisco-terracota-tpsl14-47/category/194/,SAN FRANCISCO TERRACOTA,,8434135256896,Conjunto de chaqueta de punto y polaina terracota con capucha y manga larga. Cierre cruzado con botones e interior a contraste.
14,tienda3catalog/product/view/id/24061/s/san-francisco-recien-nacido-tpsl14-46/category/194/,SAN FRANCISCO RECIÉN NACIDO,,8434135256827,Conjunto de chaqueta de punto y polaina con capucha y manga larga. Cierre cruzado con botones e interior a contraste.
15,tienda3catalog/product/view/id/25328/s/intarsia-terracota-rosl14-56/category/194/,PELELE TERRACOTA,"29,96 €",8434135256575,Pelele terracota de punto con intarsia central. Cuello redondo y manga larga. Apertura con botonadura trasera y en la parte inferior.
16,tienda3catalog/product/view/id/24010/s/pelele-zorro-punto-rosl14-81/category/194/,PELELE ZORRO PUNTO,,8434135256773,Pelele de punto verde claro con detalle intarsia con zorro. Apertura con botonadura trasera y en la parte inferior.
17,tienda3catalog/product/view/id/23727/s/polaina-punto-basica-bosl14-66/category/195/,POLAINA PUNTO BÁSICA,"11,96 €",8434135256407,Polaina de punto con detalle de lazo delantero.
18,tienda3catalog/product/view/id/24007/s/bloomer-punto-lazo/category/195/,BLOOMER PUNTO LAZO,"15,96 €",8434135256476,Bloomer de punto con relieves. Detalle lazo delantero. Gomá elástica en cintura y pierna.
19,tienda3catalog/product/view/id/23726/s/polaina-azul-grisaceo-bosl14-65/category/195/,POLAINA AZUL GRISÁCEO,"11,96 €",8434135256315,Polaina azul grisáceo de punto. Detalle lazo delantero.
20,tienda3catalog/product/view/id/24232/s/jersey-terracota-volante/category/196/,JERSEY TERRACOTA VOLANTE,"23,96 €",8434135257312,Jersey de punto terracota con cuello volante. Apertura con botones en espalda. Manga larga.
21,tienda3catalog/product/view/id/24915/s/setas-jersey-nb/category/196/,JERSEY ROSA SETAS,"27,96 €",8434135257206,Jersey rosa de punto con intarsia de setas. Cuello redondo y manga larga. Apertura con botones en espalda.
22,tienda3catalog/product/view/id/24916/s/pinguino-jersey-intarsia/category/196/,JERSEY PINGÜINO,"27,96 €",8434135257268,Jersey azul claro de punto con intarsia de pingüino. Cuello redondo y manga larga. Apertura con botones en espalda.
23,tienda3catalog/product/view/id/24011/s/chaqueta-calados/category/196/,CHAQUETA CALADOS,"25,96 €",8434135257145,Chaqueta de punto con detalle calados. Apertura delantera con botones. Cuello redondo y manga larga.
24,tienda3catalog/product/view/id/25237/s/vestido-organico-algodones-drsl16-40/category/197/,VESTIDO ALGODÓN ORGÁNICO,"27,96 €",8434135250108,Vestido verde agua 100% algodón orgánico para recién nacido. Estampado de algodones. Fruncidos delanteros y cuello volante. Manga larga. Apertura en espalda con botones.
25,tienda3catalog/product/view/id/25394/s/faldon-batista-blanco-drsl16-22/category/197/,FALDÓN DE BAUTIZO CON BRAGUITA,"48,36 €",8434135250139,Faldón de bautizo largo en tejido de batista de algodón con braguita a conjunto. Volante en canesú con terminación encaje. Manga larga.
26,tienda3catalog/product/view/id/24239/s/pijama-velvet-acsl15-74/category/198/,PIJAMA VELVET,"17,96 €",8434135252201,Pijama entero velvet. Cuello redondo y manga larga con elástico. Cierres traseros con automáticos.
27,tienda3catalog/product/view/id/25238/s/ranita-algodones-rosl16-38/category/198/,RANITA ALGODÓN ORGÁNICO,"27,96 €",8434135250290,Ranita verde agua 100% algodón orgánico para recién nacido. Estampado de algodones. Manga larga. Apertura con botonadura trasera y en la parte inferior.
28,tienda3catalog/product/view/id/25328/s/intarsia-terracota-rosl14-56/category/198/,PELELE TERRACOTA,"29,96 €",8434135256575,Pelele terracota de punto con intarsia central. Cuello redondo y manga larga. Apertura con botonadura trasera y en la parte inferior.
29,tienda3catalog/product/view/id/25258/s/ranita-doble-cuello-rosl16-12/category/198/,RANITA RAYAS,"27,96 €",8434135250238,Ranita de rayas con doble cuello volante para recién nacido. Manga larga. Apertura con botonadura trasera y en la parte inferior.
30,tienda3catalog/product/view/id/25322/s/blusa-smock-nb-tosl16-7/category/199/,BLUSA PUNTO SMOCK,"19,96 €",8434135250931,Blusa blanca con cuello volante y detalle punto smock. Manga larga. Apertura en espalda con botones.
31,tienda3catalog/product/view/id/25334/s/blusa-cuello-encaje-tosl16-8/category/199/,BLUSA VOLANTE,"15,96 €",8434135250658,Blusa cuello con cuello volante y terminación encaje. Apertura con botonadura trasera. Goma elástica en manga.
32,tienda3catalog/product/view/id/25723/s/blusa-espiga-tosl16-14/category/199/,BLUSA BORDADO ESPIGA,"19,96 €",8434135250436,Blusa blanca con cuello redondo y bordado de espigas en pecho. Manga larga con elástico en muñeca. Cierre con botones en espalda.
33,tienda3catalog/product/view/id/24385/s/blusa-rosa-vainica/category/199/,BLUSA ROSA VAINICA,,8434135153614,Blusa rosa claro cuello bebé. Detalle vainica delantera. Goma elástica en manga.
34,tienda3catalog/product/view/id/23727/s/polaina-punto-basica-bosl14-66/category/200/,POLAINA PUNTO BÁSICA,"11,96 €",8434135256407,Polaina de punto con detalle de lazo delantero.
35,tienda3catalog/product/view/id/24968/s/braguita-peonias-bosl26-68/category/200/,BRAGUITA PEONÍAS,,8434135249546,Braguita gris con estampado de peonías. Goma elástica en cintura y pierna.
36,tienda3catalog/product/view/id/25056/s/floral-racimos-braguita-bosl26-34/category/200/,RACIMOS BRAGUITA,"15,96 €",8434135253826,Braguita gris claro con estampado floral para bebé. Goma elástica en cintura y pierna.
