,url,name,price,color,description,composition,sku
0,tienda4sale-1/mauve-long-down-jacket-with-maxi-bow.html,Mauve long down jacket with maxi bow,€195.00,mauve,"Feminine mauve taffeta feather coat with hood and large decorative bow on the shoulder, Raglan sleeves. Fastening with zip and press studs, patch pockets with press stud, felt logo on the sleeve. This garment is designed to ensure comfort and maximum warmth. Soft and light, the padding is made up of 90% down and 10% soft feathers: the ideal composition ratio to respond to the highest quality. Class 1 down jacket, made with new, not regenerated feather.",100% POLYESTER internal fabric -  100%  POLYAMIDE / NYLON external fabric - 10% FEATHER padding -  90% DOWNS  padding- 100% POLYAMIDE / NYLON lining -,Code                        A20GP262N0031_618
1,tienda4sale-1/anise-velvet-shirt.html,Anise velvet shirt,€53.50,anise,"Soft anise corduroy shirt with patch pocket, cuffs and tone-on-tone button closure. The shirt can also be worn open with a t-shirt. Regular fit.",2% ELASTAM / SPANDEX fabric  -  98% COTTON fabric -,Code                        A20CL195V6005_454
2,tienda4sale-1/sweater-with-flame-red-dog.html,Sweater with flame red dog,€75.50,flame red/milky white,"Sweet boxy crewneck sweater of super fine red-coloured 100% merinos wool, a milk-coloured dog with velvet bow hand-embroidered in fur-stitch",100% WIRGIN WOOL fabric -,Code                        A20MA313EM220_3710
3,tienda4sale-1/cotton-fleece-jacket-with-flower.html,Cotton fleece jacket with flower,€49.50,milky white/ powder pink,"Milky white cotton fleece jacket with zip closure, embroideries and powder pink faux fur application.",100% COTTON fabric - 100% POLYESTER application,Code                        A20GA347M0099_1033
4,tienda4sale-1/cotton-shirt-with-embroidery.html,Cotton shirt with embroidery,€64.00,cloud / terracotta,"Long-sleeved crew neck shirt with loose fit, 100% warm cotton melange grey back lacing with delicate handmade embroidery on the yoke with terracotta and pink games.",100% COTTON fabric,Code                        A20CL187C0051_0728
5,tienda4sale-1/fleece-jacket-with-tulle-sleeves.html,Fleece jacket with tulle sleeves,€57.50,mauve / lilac,Comfortable mauve coloured cotton fleece jacket with tone-on-tone tulle balloon sleeves. Closure with snap buttons.,6% ELASTAM / SPANDEX fabric  -  94% COTTON fabric - 100% POLYAMIDE/NYLON details -,Code                        A20GA342M0100_6162
6,tienda4sale-1/military-green-long-down-jacket.html,Military green long down jacket,€173.00,military,"Warm and light down jacket with oval down proof nylon military green bottom. Funnel neck for comfort and warmth, removable hood with press studs. Elastic bottom that gives a slight curl and waist drawstring that allows you to adjust the fit. Front closure with double zip to facilitate fitting and movements. Side welt pockets with concealed zip and logo on the sleeve. This garment is designed to ensure comfort and maximum warmth. Soft and light, the padding is made up of 90% down and 10% soft feathers: the ideal composition ratio to respond to the highest quality. Class 1 down jacket, made with new, not regenerated feather.",100% POLYESTER internal fabric -  100%  POLYAMIDE / NYLON external fabric - 10% FEATHER padding -  90% DOWNS  padding- 100% POLYAMIDE / NYLON lining -,Code                        A20GP108N0068_549
7,tienda4sale-1/grey-fleece-culotte-trousers.html,Grey fleece culotte trousers,€30.00,steel,Soft melange grey stretch cotton fleece trousers with elastic waistband.,6% ELASTAM / SPANDEX fabric  -  94% COTTON fabric -,Code                        A20PR015M0100_074
8,tienda4sale-1/eco-padded-microfibre-jacket.html,Eco-padded microfibre jacket,€138.00,navy blue,"Warm double-breasted jacket with navy blue eco-padding hood. Fully lined of soft grey 100% cotton jersey. Pockets and tone-on-tone logo on the sleeve. Excellent cruelty-free alternative to the down-jacket. Resistant, easy to wash and maintain.",100% POLYESTER fabric- 100% POLYESTER padding - 100% COTTON lining -,Code                        A20GM023N0001_497
9,tienda4sale-1/mustard-jersey-polo-shirt.html,Mustard jersey polo shirt,€39.00,mustard,"Soft and comfortable 100% cotton jersey mustard yellow polo shirt, long sleeves, embroidered logo. Garment dyeing favours the combination with our collection colours.",100% COTTON fabric -5% ELASTAM/SPANDEX rib  -95% COTTON rib,Code                        A20PO064M7057_204
10,tienda4sale-1/baby-girl-0-24-sale/tulle-two-piece-suit.html,Tulle two-piece suit,€51.00,cameo pink/antique pink,Sweet cameo pink two-piece set for baby girl of soft 100% cotton fleece made up of long-sleeved shirt with heart collar and final flounce of pink tulle and comfortable trousers with elastic waistband.,100% COTTON fabric -  100% POLYAMIDE / NYLON details -,Code                        A20DP344M0099_3330
11,tienda4sale-1/baby-girl-0-24-sale/eco-down-jacket-with-ruffles.html,Eco-down jacket with ruffles,€101.50,blue,"Warm navy blue eco-down baby girl jacket with hood, elastic cuffs and welt pockets with zip. Zip closure and tone on tone ruffles at the waist.",100% POLLYAMIDE/NYLON  outer fabric -100% POLYESTER padding - 100% POLYAMIDE / NYLON sleeve lining - 100% COTTON lining -,Code                        A20GM337N0068_495
